기온(C),풍속(m/s),습도(%),전력소비량(kWh)
26.1,2.1,49.0,2901.6
27.8,1.7,46.0,3071.04
28.2,1.5,48.0,3151.2
28.4,1.1,48.0,3201.6
28.7,1.2,47.0,3210.24
29.0,1.5,47.0,3153.6
29.1,2.4,48.0,3035.52
29.2,1.7,46.0,2726.4
29.4,1.1,45.0,2315.04
28.4,2.3,46.0,2229.6
27.3,1.4,50.0,2069.76
26.7,1.9,53.0,1733.76
26.1,1.4,55.0,1414.08
25.6,1.8,55.0,1191.84
24.8,2.1,60.0,963.36
24.5,1.7,58.0,872.16
23.8,1.2,60.0,798.24
23.5,1.6,59.0,780.0
23.3,1.8,60.0,807.36
23.1,2.3,59.0,914.88
22.8,1.7,59.0,1071.84
22.8,2.8,57.0,1236.0
22.9,1.3,55.0,1440.48
23.6,1.2,53.0,1814.4
24.7,2.0,49.0,2085.6
26.4,1.9,45.0,2493.6
26.2,3.8,46.0,2582.4
24.8,3.7,50.0,2605.44
23.3,3.9,55.0,2569.44
22.8,2.9,58.0,2540.16
22.7,3.9,57.0,2466.72
22.6,2.7,56.0,2114.4
22.0,2.0,59.0,2149.92
21.6,2.7,59.0,2119.2
20.9,3.2,64.0,2054.4
20.5,2.4,70.0,1716.0
20.2,3.1,71.0,1347.36
20.2,2.8,72.0,1199.52
20.2,1.9,74.0,1108.32
20.2,2.2,73.0,1062.24
19.9,2.0,76.0,997.44
19.3,1.5,84.0,964.32
18.8,2.1,84.0,1003.2
18.5,2.1,88.0,1134.72
18.2,1.8,89.0,1348.32
17.9,1.9,89.0,1693.92
17.3,3.6,91.0,2049.6
17.2,3.1,89.0,2269.44
17.5,3.1,90.0,2351.04
19.3,3.2,74.0,2349.6
20.7,3.5,67.0,2255.04
22.9,4.3,57.0,2260.8
23.2,4.7,52.0,2280.0
24.3,5.4,49.0,2217.6
24.2,3.1,49.0,2547.36
24.0,3.1,49.0,2339.52
22.4,3.6,53.0,2032.8
21.3,3.7,53.0,1950.24
19.6,4.3,56.0,1826.4
18.4,3.9,59.0,1531.2
17.5,3.5,61.0,1218.72
16.9,2.8,62.0,1148.64
16.7,3.3,62.0,1064.64
16.6,5.2,62.0,1031.52
16.4,4.3,64.0,952.32
16.3,3.6,64.0,928.8
16.0,3.3,66.0,965.76
15.6,2.8,67.0,1088.64
15.1,2.9,70.0,1375.2
15.7,3.0,69.0,1824.0
18.2,3.0,62.0,2353.92
19.9,3.2,56.0,2614.08
21.9,3.1,50.0,2997.12
23.0,2.8,45.0,3127.2
24.6,2.6,43.0,3134.4
25.0,2.2,41.0,3254.4
24.8,2.2,41.0,3156.96
24.7,1.6,42.0,3068.16
24.1,2.2,43.0,2991.36
24.5,0.9,42.0,2449.44
23.5,2.8,46.0,2181.6
23.3,2.6,47.0,2114.4
22.3,2.1,51.0,2001.12
21.6,3.0,54.0,1684.32
20.8,2.9,56.0,1381.92
19.5,2.4,63.0,1216.8
19.0,3.2,61.0,1124.16
18.8,2.6,61.0,1059.36
18.5,2.6,62.0,987.36
18.1,2.2,63.0,977.76
17.2,3.2,66.0,1009.92
16.5,2.8,68.0,1123.2
16.2,2.0,69.0,1388.16
16.9,2.5,67.0,1900.32
19.2,2.2,61.0,2333.76
21.2,2.1,59.0,2641.92
22.8,2.4,55.0,3143.52
23.4,1.6,53.0,3221.76
23.6,1.6,52.0,3222.72
23.5,2.1,54.0,3302.4
24.4,1.7,51.0,3198.24
25.5,3.0,50.0,3155.04
25.1,0.8,49.0,3071.04
24.6,2.5,52.0,2509.92
24.9,2.3,54.0,2282.4
23.4,3.8,60.0,2051.52
21.6,2.8,67.0,1904.16
20.7,2.7,69.0,1596.48
20.1,2.7,73.0,1259.52
20.0,1.7,73.0,1119.84
19.7,2.4,77.0,1042.08
19.3,1.8,80.0,933.6
19.0,1.7,85.0,871.68
18.8,1.9,87.0,850.08
18.8,2.1,86.0,888.0
18.6,1.0,87.0,997.92
18.6,0.4,86.0,1296.0
19.0,1.0,84.0,1907.52
19.8,1.2,81.0,2397.12
20.1,0.6,82.0,2666.88
20.5,1.4,80.0,3204.0
21.6,1.5,75.0,3310.08
22.3,0.9,70.0,3292.32
22.3,0.9,72.0,3372.48
21.5,0.3,83.0,3265.44
23.6,2.0,69.0,3288.96
23.7,2.8,62.0,3200.16
23.9,3.5,58.0,2559.84
24.4,2.7,57.0,2390.4
23.6,1.7,60.0,2155.68
22.2,2.1,67.0,1976.16
20.8,1.5,75.0,1681.44
19.8,1.5,77.0,1331.52
19.3,1.7,80.0,1232.16
18.8,1.8,83.0,1161.6
18.5,1.4,85.0,1091.52
18.1,2.1,87.0,1007.52
17.9,0.7,88.0,987.84
17.7,2.4,89.0,1029.6
17.4,1.8,89.0,1130.4
17.3,2.2,91.0,1434.24
18.3,2.2,89.0,1835.04
20.0,1.6,82.0,2428.8
22.2,2.6,72.0,2695.68
24.3,1.6,65.0,3242.88
25.3,0.6,57.0,3457.92
26.3,3.1,52.0,3497.76
26.1,3.4,54.0,3565.44
22.8,2.9,74.0,3399.84
22.2,0.4,79.0,3386.4
22.4,2.7,77.0,3251.52
21.9,0.7,70.0,2606.4
22.0,1.0,73.0,2339.04
21.8,3.7,76.0,2245.92
20.9,3.4,76.0,2136.48
20.4,0.7,71.0,1768.8
19.8,1.5,74.0,1338.72
19.3,1.7,74.0,1188.0
19.1,1.8,80.0,1089.12
18.9,1.6,79.0,1014.72
18.6,2.2,81.0,923.04
18.4,2.1,83.0,912.0
18.0,0.9,83.0,938.88
17.9,1.7,85.0,1038.72
17.8,0.9,88.0,1264.32
18.6,0.9,86.0,1647.36
20.7,1.5,76.0,2148.96
23.6,1.5,63.0,2577.12
25.8,1.4,53.0,2962.56
27.3,1.4,51.0,3025.44
29.1,2.1,46.0,3092.64
30.9,1.9,37.0,3162.24
31.4,2.8,35.0,3177.12
30.6,2.9,38.0,3154.56
31.8,2.5,37.0,3102.72
32.2,2.7,37.0,2936.64
30.1,3.2,42.0,2729.76
29.2,3.4,45.0,2550.72
26.9,3.7,52.0,2420.16
25.3,3.0,56.0,1901.28
24.2,2.9,59.0,1256.64
23.0,3.3,61.0,1039.68
22.2,2.9,61.0,903.84
21.4,3.1,63.0,856.8
20.7,3.1,64.0,790.56
20.1,2.1,65.0,773.76
19.7,2.4,67.0,794.4
19.2,2.2,68.0,904.8
19.0,2.6,69.0,1054.08
20.2,2.9,66.0,1197.6
22.1,3.1,60.0,1411.68
24.1,3.0,54.0,2012.64
25.9,2.8,50.0,2563.2
27.6,2.2,46.0,2594.4
28.5,1.7,45.0,2673.12
29.9,2.5,42.0,2728.32
30.9,1.7,39.0,2754.72
30.8,2.3,38.0,2706.24
30.5,2.2,42.0,2708.16
29.2,3.7,48.0,2650.08
27.7,3.6,54.0,2552.16
25.9,2.9,59.0,2136.96
24.9,2.5,62.0,1976.64
24.1,2.1,67.0,1679.52
23.5,2.0,70.0,1368.0
22.8,2.1,76.0,1277.28
22.1,2.7,79.0,1171.68
21.8,1.2,81.0,1105.44
21.9,0.8,79.0,1034.88
21.3,1.1,90.0,1028.16
20.3,2.2,92.0,1062.72
19.7,1.2,84.0,1190.4
19.6,1.9,91.0,1475.52
20.0,2.1,92.0,2021.28
21.5,2.8,87.0,2531.04
23.5,3.2,73.0,2811.36
25.5,2.2,66.0,3516.0
27.0,2.4,58.0,3578.4
28.7,2.3,55.0,3538.08
28.4,2.7,53.0,3679.68
28.7,1.4,56.0,3568.32
27.2,4.2,58.0,3482.4
24.0,3.5,70.0,3319.2
25.0,3.0,64.0,2649.12
25.2,3.5,63.0,2368.32
24.4,3.9,64.0,2236.8
23.4,3.2,65.0,2086.56
22.7,2.9,61.0,1749.12
22.0,3.7,57.0,1449.12
21.5,3.4,58.0,1374.72
20.8,4.1,57.0,1264.8
20.2,3.8,59.0,1185.6
19.5,4.1,61.0,1108.8
19.0,4.0,63.0,1093.92
18.8,3.6,65.0,1097.76
18.6,3.8,66.0,1204.32
18.8,4.2,64.0,1533.6
19.7,4.2,61.0,1863.84
20.7,5.7,57.0,2383.2
22.4,4.6,51.0,2816.16
24.2,4.2,48.0,3266.4
25.8,3.9,45.0,3302.4
27.0,3.6,43.0,3300.48
26.8,3.4,44.0,3415.68
25.9,3.7,48.0,3309.6
25.1,4.2,48.0,3252.48
24.2,4.3,50.0,3086.4
23.4,4.0,52.0,2453.76
22.5,4.8,52.0,2249.76
21.5,4.8,53.0,2151.84
20.6,5.2,53.0,2031.84
19.8,5.9,58.0,1668.0
19.3,3.9,60.0,1380.48
18.8,3.6,63.0,1260.48
17.7,3.3,72.0,1182.24
17.1,3.0,78.0,1097.76
16.5,1.3,85.0,1032.96
15.9,1.8,91.0,1028.64
15.4,2.8,94.0,1049.76
15.2,2.2,93.0,1157.76
15.0,2.5,95.0,1429.44
15.0,3.1,95.0,1774.08
15.3,3.6,95.0,2338.08
15.5,3.2,95.0,2647.68
15.9,2.7,96.0,3117.12
16.3,2.2,96.0,3162.24
16.7,2.1,96.0,3168.0
17.4,2.0,93.0,3224.16
17.9,2.0,92.0,3117.12
18.3,2.5,93.0,3006.72
19.1,2.9,90.0,2591.52
19.3,2.2,89.0,2446.56
19.7,1.3,89.0,2148.96
19.9,1.5,89.0,2010.72
20.0,2.5,87.0,1892.64
20.0,2.1,87.0,1606.08
19.8,2.4,92.0,1386.72
19.3,0.5,93.0,1252.8
19.2,1.4,93.0,1175.04
19.0,1.7,95.0,1115.04
18.6,2.7,94.0,1034.88
18.2,2.3,95.0,1011.84
17.9,3.0,94.0,1034.88
17.9,2.3,95.0,1148.64
17.7,2.8,93.0,1456.8
17.8,2.8,93.0,1949.76
18.1,2.2,92.0,2432.64
18.3,2.2,91.0,2683.2
19.8,2.1,84.0,3156.48
21.3,1.9,73.0,3323.52
21.2,2.6,77.0,3253.44
21.8,2.6,74.0,3301.92
22.1,4.1,70.0,3206.4
23.1,3.5,64.0,3186.72
23.9,3.3,59.0,3093.12
24.5,2.7,56.0,2463.84
24.6,2.5,54.0,2277.6
23.8,2.0,57.0,2156.16
22.1,2.1,67.0,2036.64
20.8,2.7,73.0,1713.6
19.9,1.2,76.0,1413.12
19.4,0.4,77.0,1265.28
18.7,1.3,80.0,1191.36
18.1,0.8,80.0,1129.44
17.9,0.1,83.0,1059.6
17.3,1.6,86.0,1040.4
17.0,1.4,88.0,1073.76
16.7,1.8,89.0,1192.8
16.7,1.2,90.0,1489.44
17.9,1.0,90.0,1918.8
19.5,1.2,83.0,2371.44
20.3,2.0,83.0,2661.36
21.9,1.8,79.0,3210.48
23.4,2.7,72.0,3342.96
25.0,1.9,66.0,3314.4
26.5,2.0,62.0,3366.24
27.8,2.5,57.0,3544.8
27.9,1.4,58.0,3510.0
27.5,3.2,61.0,3397.92
26.8,3.0,63.0,2796.72
26.3,3.3,67.0,2592.96
25.6,2.4,69.0,2248.8
25.1,2.4,72.0,1998.72
23.8,2.8,78.0,1691.04
23.2,2.2,80.0,1380.96
23.1,0.9,82.0,1224.72
22.8,1.2,83.0,1236.96
22.6,1.0,85.0,1163.52
22.3,1.0,85.0,1070.88
22.3,0.5,84.0,1048.8
22.4,1.5,84.0,1087.68
22.2,1.2,84.0,1173.6
22.1,1.2,86.0,1433.28
22.5,1.0,86.0,1655.52
23.2,2.2,80.0,2232.0
23.6,2.1,77.0,2679.36
23.9,2.6,75.0,3117.12
24.4,2.4,73.0,3234.72
24.5,2.6,72.0,3230.4
24.4,2.0,75.0,3267.84
24.3,2.3,76.0,3263.04
23.7,2.6,81.0,3250.56
24.3,1.4,78.0,3192.96
24.8,0.5,76.0,2920.32
25.0,1.3,75.0,2813.28
24.3,2.5,77.0,2510.88
23.2,3.0,80.0,2201.76
22.9,1.1,80.0,1767.84
22.7,2.5,82.0,1325.28
22.6,0.7,82.0,1098.72
22.4,1.0,82.0,955.2
22.4,1.0,83.0,915.84
22.4,1.8,84.0,838.08
22.4,2.8,86.0,825.12
22.3,2.0,87.0,860.16
22.3,1.0,86.0,957.6
22.3,0.8,86.0,1120.32
22.5,1.6,85.0,1289.76
22.7,1.9,84.0,1479.84
22.9,1.9,85.0,2020.8
23.4,1.0,83.0,2692.32
23.6,1.8,80.0,2768.64
23.7,2.4,79.0,2809.92
24.2,2.0,77.0,2811.84
24.2,2.3,78.0,2860.32
24.2,2.6,79.0,2799.84
24.2,1.4,79.0,2770.08
24.9,1.2,76.0,2678.88
24.9,1.2,74.0,2735.52
24.7,1.1,76.0,2680.8
24.3,1.1,77.0,2602.08
24.0,1.9,79.0,1934.4
23.7,1.4,81.0,1571.04
23.4,1.3,83.0,1289.76
23.0,0.9,85.0,1207.68
22.7,0.9,85.0,1143.84
22.6,1.1,90.0,1084.32
22.5,0.9,90.0,1068.96
22.3,0.7,90.0,1112.64
22.2,0.8,91.0,1236.96
22.1,0.3,91.0,1522.08
22.5,1.0,90.0,1887.84
23.3,1.5,87.0,2310.24
24.1,1.0,81.0,2639.52
24.4,0.5,78.0,3264.48
25.1,0.5,72.0,3362.4
26.3,1.2,70.0,3375.36
26.8,2.3,67.0,3430.56
28.0,2.1,63.0,3883.2
28.3,1.6,64.0,3833.28
28.6,1.5,62.0,3702.72
28.7,1.9,61.0,3129.6
28.8,1.8,59.0,2908.32
28.2,2.6,62.0,2341.44
26.8,1.5,66.0,1960.8
25.6,2.0,74.0,1668.48
24.8,1.7,77.0,1348.8
24.2,1.2,79.0,1184.16
23.7,1.3,84.0,1068.48
23.0,0.9,85.0,1014.24
22.5,0.7,89.0,934.56
22.1,2.5,92.0,924.48
21.8,0.6,91.0,960.48
21.5,0.8,92.0,1080.48
21.3,0.3,92.0,1418.88
22.1,1.1,91.0,2120.16
24.1,1.4,84.0,2755.68
26.0,1.1,77.0,3144.96
27.2,2.5,68.0,3813.12
28.8,2.5,65.0,4580.64
29.9,3.0,59.0,4458.24
31.4,2.0,54.0,4451.04
32.3,3.0,50.0,4323.84
32.0,3.3,52.0,4320.96
32.3,3.2,53.0,4162.56
31.8,3.1,54.0,3473.76
30.9,2.7,55.0,3138.72
29.2,2.8,59.0,2649.6
27.3,2.1,67.0,2322.24
25.9,2.3,74.0,1921.44
25.1,1.5,77.0,1501.92
24.6,3.1,79.0,1346.4
24.1,2.5,80.0,1257.6
23.8,2.5,79.0,1187.52
23.1,2.3,82.0,1107.84
22.4,2.2,85.0,1097.76
21.9,2.0,87.0,1125.12
22.0,1.7,86.0,1252.8
22.2,1.8,87.0,1570.56
22.6,1.5,84.0,2145.12
23.0,1.9,83.0,2767.68
23.9,1.1,81.0,3039.36
26.0,1.9,72.0,3741.6
27.3,2.5,66.0,4290.24
28.5,1.9,61.0,4249.44
29.0,3.2,58.0,4323.84
30.1,3.2,58.0,4207.68
30.4,3.4,54.0,4193.76
30.7,3.4,44.0,3997.92
29.6,3.8,53.0,3296.16
28.7,3.2,58.0,2946.72
27.7,2.3,59.0,2832.0
26.8,2.4,65.0,2683.2
26.1,1.4,68.0,1965.6
25.4,1.4,71.0,1420.32
25.2,0.4,73.0,1262.88
24.7,0.9,75.0,1132.32
24.3,1.1,76.0,1056.0
23.9,0.8,75.0,969.12
23.5,0.9,78.0,952.8
23.7,1.8,80.0,984.0
23.7,1.4,80.0,1117.44
23.7,1.3,82.0,1472.64
24.1,0.3,81.0,2145.6
25.1,2.0,78.0,2631.84
24.7,2.3,82.0,2949.6
25.1,1.4,84.0,3648.96
26.0,1.9,81.0,4433.28
26.4,1.8,78.0,4610.88
25.7,2.3,88.0,4324.32
25.0,2.9,96.0,4609.92
24.7,5.4,97.0,4562.88
24.4,4.7,96.0,4383.36
24.4,4.0,99.0,3252.48
24.2,4.7,99.0,2655.84
24.0,3.4,100.0,2417.28
23.6,4.7,99.0,2303.52
23.5,4.2,97.0,1879.2
23.5,3.5,99.0,1566.72
23.3,4.0,99.0,1376.64
23.5,3.7,100.0,1275.36
23.4,3.4,100.0,1210.56
23.0,3.7,99.0,1121.76
22.4,1.6,98.0,1092.48
22.1,1.8,99.0,1138.56
21.7,2.6,97.0,1253.76
20.7,3.4,98.0,1553.28
20.8,3.4,99.0,2010.24
21.3,2.8,99.0,2690.4
22.0,2.6,98.0,3031.68
23.0,3.7,92.0,3758.4
23.0,2.6,88.0,4450.08
22.7,3.4,88.0,4546.08
22.8,4.1,89.0,4213.92
22.6,4.9,91.0,4355.04
22.5,2.7,93.0,4215.36
23.1,4.0,86.0,3975.84
24.3,2.5,82.0,3269.76
24.8,4.6,79.0,2982.24
24.7,3.7,78.0,2792.16
24.2,4.4,81.0,2210.4
23.7,3.7,85.0,1761.6
23.2,3.8,87.0,1414.56
22.9,3.0,86.0,1324.32
22.3,2.7,88.0,1254.24
21.8,3.4,90.0,1151.04
21.6,3.3,90.0,1050.72
21.5,1.9,90.0,1030.56
21.5,2.5,89.0,1062.72
21.5,2.2,90.0,1189.92
21.8,2.4,89.0,1445.76
22.2,1.6,88.0,1884.48
23.0,1.5,84.0,2284.8
24.1,1.3,83.0,2692.32
25.0,1.9,81.0,3458.4
27.0,2.9,75.0,4284.96
28.8,2.0,72.0,4239.36
29.8,3.1,71.0,4312.32
30.3,3.2,71.0,4335.84
30.2,4.0,71.0,4274.88
29.7,3.7,74.0,4200.0
29.6,2.7,74.0,3169.44
29.0,4.6,73.0,3001.92
28.1,4.4,71.0,2888.64
27.4,3.6,75.0,2701.92
26.6,4.1,81.0,1844.16
26.3,3.6,81.0,1373.76
26.1,2.4,82.0,1833.12
25.7,2.5,84.0,1725.6
25.3,3.7,86.0,1672.32
25.1,2.4,84.0,1562.4
24.8,2.5,83.0,1433.28
25.0,3.3,84.0,1439.52
25.1,3.0,86.0,1564.8
25.1,2.7,86.0,1755.36
25.2,2.0,86.0,1851.84
25.3,2.5,86.0,1705.44
25.4,2.5,85.0,2469.12
25.4,1.7,85.0,2800.8
26.1,2.7,85.0,2995.68
26.8,3.0,83.0,3178.56
27.4,2.5,82.0,3532.8
27.6,1.7,80.0,3563.04
28.1,3.9,79.0,3533.28
27.8,3.5,80.0,3481.44
27.8,3.2,80.0,3051.84
27.6,2.9,80.0,2932.32
27.5,2.2,80.0,2904.0
27.3,2.4,80.0,2796.0
27.1,1.9,81.0,2047.68
27.0,1.7,80.0,1491.84
26.9,2.4,81.0,1333.92
26.9,2.3,80.0,1270.08
26.6,2.2,83.0,1212.96
26.2,2.1,87.0,1137.6
26.0,1.9,86.0,1109.28
25.8,0.5,89.0,1123.2
25.4,0.8,90.0,1285.44
25.5,1.0,89.0,1690.56
25.7,1.1,89.0,2311.2
26.2,0.8,87.0,2989.44
26.8,2.2,83.0,3505.92
27.2,2.5,81.0,4008.48
28.0,2.8,79.0,4657.92
27.8,2.4,83.0,4883.04
27.6,2.5,86.0,4858.08
26.6,3.6,88.0,4777.92
26.6,2.6,90.0,4653.6
26.7,2.1,91.0,4543.2
26.3,5.4,89.0,3676.32
26.4,2.4,87.0,3067.2
26.9,4.3,84.0,2943.84
27.1,4.7,81.0,2771.52
27.3,4.2,80.0,2390.4
27.3,4.0,80.0,1530.72
27.6,4.2,77.0,1354.08
27.7,3.2,77.0,1301.28
27.7,3.5,77.0,1222.08
27.5,4.6,77.0,1125.6
27.4,3.1,77.0,1102.56
27.0,6.2,80.0,1131.36
26.3,8.5,83.0,1288.32
27.0,8.6,79.0,1647.84
27.1,7.2,78.0,2348.16
27.2,6.8,78.0,3012.96
27.6,6.2,76.0,3386.88
27.8,6.7,75.0,3977.76
27.8,8.4,77.0,4830.72
27.7,7.1,77.0,4901.76
27.8,6.7,77.0,4896.48
27.2,5.8,82.0,4798.56
26.3,6.8,87.0,4646.88
26.7,6.0,84.0,4564.32
26.9,5.4,84.0,3607.68
27.0,4.2,83.0,3190.08
27.1,5.6,83.0,3059.52
27.2,5.3,81.0,2705.76
26.3,3.9,87.0,1919.04
26.8,3.5,82.0,1489.44
26.3,3.0,85.0,1289.76
25.7,3.5,89.0,1224.0
25.3,3.7,93.0,1116.0
24.8,3.5,95.0,1025.76
24.8,6.1,96.0,1020.0
25.1,8.8,95.0,1037.76
24.9,4.2,96.0,1186.08
24.9,5.1,95.0,1620.48
25.0,4.8,94.0,2461.44
25.0,6.1,95.0,3059.04
25.2,5.0,94.0,3432.48
25.2,3.0,94.0,4488.48
25.4,3.4,93.0,4841.28
25.3,3.2,96.0,4805.76
25.1,2.6,97.0,4796.16
25.1,3.2,95.0,4781.76
25.8,3.2,93.0,4666.56
25.8,3.6,95.0,4563.84
25.8,3.9,94.0,3375.84
26.0,2.4,93.0,3057.6
25.8,4.2,94.0,2879.04
25.3,3.4,97.0,2508.48
24.5,2.6,97.0,1748.16
24.5,2.7,98.0,1408.32
24.5,1.4,98.0,1361.28
24.5,2.4,100.0,1294.08
24.4,1.5,99.0,1195.68
24.3,2.7,100.0,1093.44
23.4,1.8,99.0,1075.68
22.9,1.8,100.0,1092.96
22.7,1.2,100.0,1236.48
22.5,2.5,100.0,1587.36
22.4,2.1,100.0,2283.36
22.4,2.1,100.0,2817.12
22.4,2.2,100.0,3169.44
22.3,2.2,100.0,3775.2
22.6,2.1,100.0,4600.8
23.0,1.6,99.0,4640.64
22.9,3.1,100.0,4557.6
22.9,2.1,99.0,4593.12
22.5,3.6,98.0,4354.08
22.2,3.9,100.0,4243.68
21.3,4.1,100.0,3155.04
21.2,3.5,100.0,2973.12
21.2,3.2,100.0,2819.04
21.3,2.9,99.0,2590.08
21.4,1.9,99.0,1782.72
21.5,1.5,99.0,1525.92
21.7,0.8,99.0,1394.4
21.9,1.1,99.0,1290.72
22.3,1.1,99.0,1213.44
22.4,1.9,99.0,1131.84
22.6,0.1,99.0,1116.0
22.9,0.9,99.0,1152.0
22.9,0.6,99.0,1281.12
23.0,1.3,99.0,1652.64
23.4,1.5,99.0,2356.8
23.9,1.6,99.0,2894.88
25.6,2.0,95.0,3299.04
26.9,2.7,85.0,4672.32
27.6,2.1,80.0,4849.92
28.6,2.2,74.0,4836.0
29.7,3.1,68.0,4493.28
30.2,3.3,65.0,4480.8
30.6,3.7,66.0,4367.52
30.7,3.5,64.0,4269.12
30.8,3.6,63.0,3286.56
30.0,3.1,65.0,2886.72
29.7,2.4,68.0,2746.08
28.0,2.6,77.0,2555.52
26.9,2.6,81.0,2180.16
26.2,2.0,84.0,1767.84
25.9,1.2,86.0,1872.0
25.4,1.1,87.0,2055.84
25.1,0.4,87.0,1991.04
24.9,0.6,88.0,1875.36
24.6,0.6,88.0,1791.84
24.3,1.2,91.0,1776.0
24.2,1.2,92.0,1888.32
24.0,1.3,92.0,1961.28
24.6,1.4,92.0,2488.32
26.1,2.0,87.0,2712.0
27.9,1.2,77.0,3051.84
29.2,1.8,69.0,3801.6
30.3,1.4,66.0,4473.12
31.1,1.9,62.0,4404.96
32.1,1.7,59.0,4467.36
32.0,1.2,55.0,4455.84
33.4,1.6,51.0,4334.4
33.7,2.6,54.0,4278.72
33.5,1.7,57.0,3044.64
33.1,2.9,57.0,2754.72
32.0,2.4,65.0,2676.0
30.2,2.6,70.0,2501.28
29.2,2.0,72.0,2026.56
28.3,1.3,80.0,1444.32
27.7,1.9,81.0,1751.04
27.1,1.6,83.0,1742.4
26.5,1.3,83.0,1667.04
25.8,1.5,85.0,1493.76
25.3,0.7,87.0,886.08
24.9,0.4,85.0,860.16
24.7,0.3,87.0,986.88
24.5,0.9,85.0,1207.2
25.0,0.9,86.0,1384.32
26.7,1.4,82.0,2078.4
28.3,0.8,76.0,2665.44
30.3,1.5,59.0,3046.56
31.9,1.6,54.0,3140.16
32.2,1.4,59.0,3280.32
33.2,2.4,52.0,3972.96
33.6,2.0,51.0,3953.76
33.7,2.9,49.0,3745.92
33.7,3.4,52.0,3804.0
33.5,3.3,52.0,3302.88
32.9,3.5,55.0,3093.6
31.3,3.2,58.0,3012.0
30.2,3.1,60.0,2456.64
29.4,1.7,65.0,1890.24
28.8,0.5,69.0,1459.68
28.3,1.2,71.0,1371.84
27.9,1.7,73.0,1617.84
27.8,1.4,74.0,1374.72
27.5,0.9,74.0,1405.44
27.2,1.1,75.0,1342.56
27.0,0.9,76.0,1379.28
26.6,1.1,78.0,1402.8
26.4,0.8,80.0,1617.36
26.7,1.2,82.0,2282.4
28.1,1.8,78.0,2884.56
29.5,1.2,71.0,3304.32
30.1,1.5,70.0,4548.72
30.7,1.6,67.0,4956.72
30.7,1.8,67.0,4744.8
30.3,3.1,68.0,4578.96
30.1,1.8,71.0,4544.4
30.9,2.3,67.0,4436.64
32.3,2.6,61.0,4373.52
32.1,3.0,62.0,3571.68
31.4,1.9,65.0,2980.08
30.5,3.1,71.0,2815.44
29.9,2.6,73.0,2630.88
29.6,1.6,75.0,2240.88
29.1,1.1,75.0,1689.36
28.9,1.0,74.0,2004.48
28.4,1.7,74.0,1944.96
27.8,1.4,75.0,1536.0
27.4,2.1,77.0,1679.04
27.2,1.2,78.0,1569.12
27.0,1.0,79.0,1606.56
26.7,0.7,79.0,1524.48
26.7,1.1,81.0,1582.08
